State,sum(Population),sum(Deaths),Percent
Northern Mariana Islands,55144.0,2.0,0.0036268678369360224
Virgin Islands,107268.0,27.0,0.02517060073833762
Hawaii,1415872.0,483.0,0.034113253175428286
Vermont,623989.0,247.0,0.039584031128753874
Alaska,740995.0,347.0,0.046828925971160396
Maine,1344212.0,789.0,0.05869609853207679
Oregon,4217737.0,2501.0,0.059297201319096
Puerto Rico,3754939.0,2315.0,0.061652133363551305
Utah,3205958.0,2204.0,0.06874700167625403
Washington,7614893.0,5499.0,0.07221375270801572
